@relation features

@attribute f1 numeric
@attribute f2 numeric
@attribute f3 numeric
@attribute f4 numeric
@attribute f5 numeric
@attribute f6 numeric
@attribute f7 numeric
@attribute f8 numeric
@attribute label {arrow,other}

@data
1.107149,2.923524,1.979214,0.676996,6728,8.814033,4.865162,1.790835,arrow
1.185839,2.446406,1.85535,0.758398,5452,8.603738,4.829592,1.604242,arrow
1.170821,3.358348,2.159412,0.642998,6396,8.763428,4.894403,1.797119,arrow
1.245436,2.85604,1.818869,0.63685,2324,7.751045,4.472731,1.909446,arrow
1.06447,4.33825,2.277408,0.52496,6710,8.811354,4.834547,1.506326,arrow
1.147942,2.940273,1.869713,0.635898,11520,9.35184,5.167375,1.655661,arrow
1.07145,3.084004,1.936437,0.627897,3234,8.081475,4.474033,1.473045,arrow
1.194156,2.544102,1.78106,0.700074,7102,8.868132,4.970512,1.712848,arrow
1.284745,2.140862,1.691017,0.789877,5440,8.601534,4.954138,1.556775,arrow
1.037409,3.319388,1.962427,0.591201,6510,8.781095,4.803517,1.699903,arrow
1.131937,3.203255,2.427005,0.757668,1127,7.027315,3.991379,1.358756,arrow
1.150916,2.571116,1.923517,0.748125,1400,7.244228,4.11622,1.643661,arrow
1.121282,3.607665,3.153864,0.874212,6270,8.743532,4.840828,1.254097,arrow
0.901157,3.677831,2.902456,0.789176,7296,8.895082,4.807636,1.247386,arrow
0.416065,2.51544,1.842918,0.732642,3268,8.091933,4.543521,1.034454,arrow
0.304096,2.730079,1.742755,0.638353,11092,9.313979,5.28341,1.117204,arrow
1.070356,2.974677,2.063707,0.693758,2240,7.714231,4.289708,1.431403,arrow
0.562285,2.408224,1.853462,0.769639,3358,8.119101,4.457649,1.274565,arrow
0.18281,1.592121,1.404854,0.882379,10472,9.25646,5.489074,0.768162,arrow
1.381183,1.863968,1.710997,0.917932,7524,8.925853,5.306352,1.439707,arrow
1.366418,2.102664,1.603616,0.762659,15675,9.659822,5.637803,1.561544,arrow
0.289504,1.873425,1.522543,0.812706,16450,9.708081,5.502091,1.337485,arrow
1.363559,1.835604,1.617764,0.881325,7995,8.986572,5.294629,1.359223,arrow
0.279881,2.273911,1.65459,0.72764,8016,8.989195,5.157683,0.988991,arrow
1.375878,2.137196,1.611417,0.753987,10718,9.27968,5.470157,1.386833,arrow
0.214061,2.043077,1.635028,0.800277,4140,8.328451,4.950342,0.873032,arrow
1.382273,2.278949,1.932439,0.847952,4408,8.391176,5.041757,1.773277,arrow
1.347585,1.7738,1.546986,0.872131,6031,8.704668,5.118872,1.413197,arrow
0.246721,1.952693,1.588949,0.813722,4590,8.431635,4.936024,0.933034,arrow
1.457977,1.571503,1.400061,0.890906,4669,8.4487,5.319584,1.414389,arrow
1.195956,2.457393,1.781369,0.724902,5856,8.675222,4.875983,1.330751,arrow
1.265993,2.487331,1.746745,0.702257,2492,7.820841,4.535826,1.335776,arrow
1.188189,2.988698,2.071669,0.693168,2706,7.903227,4.481772,1.600163,arrow
0.811941,3.352763,2.138814,0.637926,3190,8.067776,4.381167,2.505432,arrow
0.363393,3.436089,2.150457,0.625844,1917,7.558517,4.330214,0.947323,arrow
0.14816,1.924507,1.605691,0.834339,2680,7.893572,4.908856,0.567364,arrow
1.083201,3.543808,2.317125,0.653852,2310,7.745003,4.313562,1.77437,arrow
0.90349,5.675858,2.435571,0.429111,858,6.754604,3.737953,1.26129,arrow
0.950547,5.521682,2.497483,0.452305,1260,7.138867,3.943792,1.160719,arrow
0.394314,2.726555,1.902143,0.697636,9238,9.131081,5.083791,1.334198,arrow
1.206389,3.633337,2.003433,0.551403,3589,8.185629,4.642631,1.578972,arrow
1.032422,5.442594,2.249092,0.413239,3096,8.037866,4.429184,1.578491,arrow
1.07145,3.708756,2.18638,0.589518,1056,6.962243,3.914417,1.611119,arrow
1.107149,2.775604,2.013884,0.725566,968,6.875232,3.895761,1.615166,arrow
1.240736,2.209205,1.742169,0.788596,3996,8.293049,4.73762,1.42275,arrow
1.313473,2.06086,1.656046,0.80357,1520,7.326466,4.364213,0.972958,arrow
1.183026,2.607785,1.882455,0.72186,2059,7.629976,4.339826,1.369146,arrow
1.344644,2.28306,1.70676,0.747576,2938,7.985484,4.753181,1.319847,arrow
1.244641,4.217761,2.251971,0.533926,1564,7.355002,4.273667,1.863406,arrow
1.112496,2.948196,1.990456,0.675144,2775,7.928406,4.426404,2.197224,arrow
0.989416,3.599279,2.169054,0.602636,805,6.690842,3.734827,1.337754,arrow
0.335639,2.608476,1.848913,0.708809,2580,7.855545,4.511764,1.162343,arrow
1.237552,2.413403,1.801457,0.746438,2106,7.652546,4.413294,1.745808,arrow
1.022247,3.317168,2.062966,0.621906,1782,7.485492,4.147649,1.736801,arrow
1.240849,2.71664,1.881841,0.692709,1825,7.509335,4.345909,2.481527,arrow
1.049887,5.070852,2.48625,0.490302,2135,7.666222,4.253167,1.837494,arrow
1.176928,2.260098,1.721295,0.761602,2464,7.809541,4.423464,2.179137,arrow
0.416702,3.018315,2.050119,0.679226,1647,7.406711,4.20033,1.12553,arrow
1.186627,4.015791,2.253091,0.561058,893,6.794587,3.925831,1.855992,arrow
1.320353,1.914545,1.605304,0.838478,1892,7.54539,4.486042,2.495339,arrow
1.357236,2.365091,1.73686,0.734373,1494,7.309212,4.44182,1.828386,arrow
1.202296,2.413213,1.866581,0.773484,3939,8.278682,4.684611,2.540252,arrow
1.073742,4.26079,2.291184,0.537737,12699,9.449279,5.159418,1.528685,arrow
1.341564,2.278585,1.767806,0.775835,1890,7.544332,4.526317,2.416432,arrow
1.132867,2.950574,2.422197,0.820924,7434,8.913819,4.935405,1.665045,arrow
0.881592,3.378655,2.607817,0.771851,12875,9.463043,5.087406,1.630551,arrow
0.905621,3.152311,2.451686,0.777743,21877,9.993191,5.357764,1.856042,arrow
1.242538,3.266647,2.599648,0.795816,6486,8.777401,4.982127,1.40431,arrow
0.858949,5.835346,2.881761,0.493846,8976,9.10231,4.903158,1.133851,arrow
0.550166,3.212892,1.90398,0.592606,13800,9.532424,5.17029,1.04705,arrow
1.02895,3.582704,2.159704,0.602814,6386,8.761863,4.789329,1.857757,arrow
1.070635,3.077403,1.997077,0.648949,4042,8.304495,4.58502,1.913378,arrow
0.728465,5.531175,2.289715,0.413965,9282,9.135832,4.917738,1.303485,arrow
1.368255,2.311861,1.672864,0.723601,2576,7.853993,4.739152,1.582155,arrow
1.11198,2.532881,1.834992,0.724468,3403,8.132413,4.528012,1.620967,arrow
1.2203,2.236124,1.703446,0.761785,3162,8.05896,4.595324,1.868062,arrow
1.227772,2.466986,1.69665,0.687742,3430,8.140316,4.644991,1.580875,arrow
0.258153,2.268105,1.682471,0.741796,8366,9.031931,5.215482,1.407307,arrow
1.059847,3.500942,1.960877,0.5601,2442,7.800573,4.326299,2.071949,arrow
1.320596,2.129717,1.702144,0.799235,2070,7.635304,4.531442,2.116533,arrow
0.197396,1.70154,1.505238,0.884632,2205,7.698483,4.673571,0.979262,arrow
1.360823,1.775681,1.51321,0.852186,7137,8.873048,5.231695,1.341253,arrow
0.142735,1.554428,1.346686,0.866355,4008,8.296048,5.128215,0.720332,arrow
1.347683,1.827016,1.497028,0.819384,3213,8.07496,4.804223,1.948475,arrow
0.99783,2.852813,2.082156,0.729861,620,6.429719,3.607988,1.385523,arrow
0.936774,3.887259,2.488702,0.64022,850,6.745236,3.742465,1.62904,arrow
1.234122,2.735991,1.921427,0.702278,1260,7.138867,4.152124,1.647031,arrow
1.150916,3.219145,2.058577,0.639479,1400,7.244228,4.11622,1.709205,arrow
1.206062,3.692977,2.132756,0.577517,1155,7.051856,4.075378,1.503174,arrow
1.101014,2.61302,1.911935,0.731695,2145,7.670895,4.28905,1.229054,arrow
0.260956,1.761047,1.494198,0.848471,8272,9.020632,5.204927,1.128023,arrow
1.307084,1.807607,1.540653,0.852316,2700,7.901007,4.640353,1.764342,arrow
1.208569,2.4176,1.878161,0.77687,3420,8.137396,4.620968,1.515277,arrow
1.096396,2.661286,1.917374,0.720469,703,6.555357,3.727938,1.555576,arrow
0.982794,4.497824,2.180844,0.484866,4374,8.383433,4.578312,1.211523,arrow
1.259249,3.321181,1.950392,0.587258,1121,7.021976,4.126874,1.484384,arrow
1.2021,2.412381,1.861611,0.77169,748,6.617403,3.853756,1.944954,arrow
1.345758,1.658183,1.473503,0.888625,1577,7.36328,4.444378,1.817183,arrow
1.026754,3.647327,2.043417,0.560251,3969,8.286269,4.550374,1.157306,arrow
0.263467,2.196211,1.708654,0.778001,6232,8.737453,5.058997,1.047075,arrow
1.107149,3.278948,1.991805,0.607453,1458,7.284821,4.100556,1.734047,arrow
0.30677,2.623438,1.80354,0.687472,8211,9.01323,5.129215,1.175242,arrow
1.22498,2.3187,1.746881,0.753388,6664,8.804475,4.97368,1.55161,arrow
1.284745,2.103476,1.598349,0.759861,8500,9.047821,5.177282,1.343852,arrow
1.240849,3.155957,1.885412,0.597414,1825,7.509335,4.345909,1.256779,arrow
1.120571,4.113079,2.082082,0.50621,1740,7.46164,4.199317,1.550624,arrow
1.234829,2.285319,1.745245,0.763677,1386,7.234177,4.200667,1.579368,arrow
0.302362,2.899199,1.996751,0.688725,3706,8.217708,4.737773,0.929486,arrow
1.13901,3.161664,1.967609,0.622333,4794,8.47512,4.721242,1.336657,arrow
1.180189,2.477432,1.7573,0.709323,5831,8.670944,4.857433,1.401504,arrow
0.882914,4.299786,2.116549,0.492245,8383,9.033961,4.873124,1.786142,arrow
0.813428,3.991487,2.251277,0.56402,11440,9.344871,5.019795,1.511847,arrow
1.028135,3.217578,1.967351,0.611438,10349,9.244645,5.030288,2.37112,arrow
0.883566,4.639317,2.425809,0.522881,17255,9.755857,5.234202,1.114508,arrow
0.741601,3.913972,2.212156,0.565195,15720,9.662689,5.179839,1.273917,arrow
0.965805,3.946253,2.168529,0.549516,6110,8.717682,4.738693,2.27897,arrow
0.716542,4.677647,2.53013,0.540898,7533,8.927049,4.814854,1.076371,arrow
0.611128,3.313377,2.073956,0.625934,19539,9.880168,5.317663,1.49229,arrow
0.812914,3.766133,2.249653,0.597338,11872,9.381938,5.0383,1.271751,arrow
1.047919,2.894221,1.888679,0.652569,11952,9.388654,5.113238,1.949228,arrow
0.451814,2.869411,2.041284,0.711395,8976,9.10231,5.018397,1.188502,arrow
1.050338,2.9995,2.008469,0.669601,15416,9.643161,5.241901,2.619467,arrow
0.620249,2.983157,2.39662,0.803384,27440,10.219757,5.484237,1.457603,arrow
0.503141,2.760364,1.961301,0.710523,9159,9.122492,4.992119,1.256229,arrow
1.197809,3.463024,2.109041,0.609017,828,6.719013,3.899877,2.145232,arrow
0.933726,3.587199,2.186363,0.60949,7400,8.909235,4.823523,2.010045,arrow
0.907017,3.990866,2.135768,0.535164,7979,8.984568,4.853797,1.738545,arrow
0.616297,4.204469,2.310911,0.549632,6528,8.783856,4.767659,1.159027,arrow
0.317459,2.823956,1.890855,0.669577,1610,7.383989,4.299755,0.97625,arrow
1.093451,3.063684,1.993306,0.650624,1740,7.46164,4.178981,1.956436,arrow
1.069532,3.08153,1.988401,0.645264,2920,7.979339,4.421735,2.650589,arrow
1.027607,2.5813,1.820248,0.705167,1696,7.436028,4.125702,1.985046,arrow
1.192654,3.074699,1.832653,0.596043,2117,7.657755,4.363727,1.372636,arrow
1.180189,2.428857,1.815711,0.747558,1071,6.976348,4.010135,2.236114,arrow
1.212026,2.721829,1.886007,0.692919,2400,7.783224,4.447815,2.515651,arrow
1.118642,2.343285,1.8368,0.783857,2380,7.774856,4.354402,1.957764,arrow
0.369334,2.372915,1.745952,0.735784,3348,8.116118,4.602413,1.321216,arrow
0.324208,2.313078,1.604642,0.693726,5002,8.517593,4.857524,1.56677,arrow
1.054101,2.927094,1.944335,0.664254,1100,7.003065,3.924077,1.700445,arrow
1.212026,2.192545,1.756741,0.801234,1944,7.572503,4.342454,2.611124,arrow
1.262145,2.447014,1.836096,0.750342,1518,7.325149,4.282515,2.219887,arrow
0.258771,2.03198,1.65317,0.813576,2754,7.92081,4.658834,0.94539,arrow
1.337499,1.82989,1.524192,0.832942,2424,7.793174,4.642585,2.673166,arrow
1.303883,2.325746,1.763221,0.758131,4480,8.407378,4.888083,1.954461,arrow
0.211828,2.054923,1.567602,0.762852,1860,7.528332,4.555205,0.96083,arrow
1.280531,2.169471,1.668758,0.7692,1771,7.4793,4.386537,2.428623,arrow
0.168207,2.180769,1.640787,0.75239,477,6.167516,3.984506,0.640843,arrow
1.237873,2.869302,1.851461,0.645266,3959,8.283747,4.729303,1.824483,arrow
1.053764,2.975398,1.884675,0.633419,5916,8.685416,4.765051,1.765904,arrow
1.262145,2.870934,1.900832,0.662095,6072,8.711443,4.975662,1.501455,arrow
1.275945,2.098184,1.747626,0.832923,5535,8.618847,4.949388,2.036441,arrow
1.245988,2.114082,1.656493,0.783552,3234,8.081475,4.638672,1.793545,arrow
0.187209,1.617483,1.473951,0.911262,9761,9.18615,5.442577,0.952764,arrow
1.342455,1.98103,1.663393,0.839661,4686,8.452335,4.982127,1.783005,arrow
0.414218,2.680763,1.820123,0.678957,5916,8.685416,4.84195,1.142976,arrow
1.389329,1.901381,1.597945,0.840413,2180,7.68708,4.707904,2.240473,arrow
1.229344,2.3343,1.910076,0.818265,5203,8.556991,4.855255,2.183508,arrow
0.258771,2.383143,1.787919,0.750236,4896,8.496174,4.946517,0.936639,arrow
1.042722,3.008605,2.047026,0.68039,6804,8.825266,4.82857,1.706629,arrow
1.281616,2.254012,1.712005,0.759537,4356,8.379309,4.838199,2.001542,arrow
1.27269,2.427717,1.808393,0.744895,9845,9.194719,5.232494,1.66829,arrow
1.096945,4.15067,2.462226,0.593212,12480,9.431883,5.166595,1.343635,arrow
0.254625,2.222245,1.681298,0.756576,1387,7.234898,4.323233,0.706648,arrow
1.280531,2.26549,1.69194,0.746832,1771,7.4793,4.386537,1.617727,arrow
1.346085,2.499422,1.6802,0.672236,1120,7.021084,4.273958,1.694232,arrow
1.218854,2.86673,1.92172,0.670353,11505,9.350537,5.239404,2.366152,arrow
1.162381,2.599124,1.883997,0.724858,12654,9.445729,5.227492,2.591298,arrow
0.874712,3.665337,2.071279,0.565099,4453,8.401333,4.55526,2.259688,arrow
1.020549,3.239353,1.992391,0.615058,8687,9.069583,4.938828,2.490703,arrow
1.005407,3.064074,2.014448,0.657441,13340,9.498522,5.145886,2.427265,arrow
